,count,mean,std,min,25%,50%,75%,max
accuracy,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
formality,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
faithfulness,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
clarity,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
succinctness,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
relevance,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
numeric_consistency,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
overall_score,2.0,4.0,1.0040916292848974,3.29,3.645,4.0,4.355,4.71
